SHA256_Value,Verdict,Classification_tags,Mitre_Attack_Techniques
9457dfece54a86417760c368b69fe755daffb106e61dd0dc58a9e8aa7e979d3d,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
d89a6c5329dd06c30985022ec6c72239c849a12e411a6d2483f02178e10ffafa,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
b975f69d319068d26438d6889fdb6abb1d45db57632695fe1113954b44b1f31b,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
3ebe2885518a04256ab775d8da26099622532c1eb595163921f943d528f869b4,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
4d98c0070ab5daebc82d616ca007dd2b11143324862d62e1f190dc6953726a2a,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
60847d7687c8357a243793040aa7165618b892d0cf2449beb0dcd39f771e8865,malicious,['macros-on-open'],"['Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery']"
abf9abb1bbd16ff5bae2256c47d0a45e1a89ce5bd94baf5e19290fac2039dd45,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
b035d3432b4ed27dbacd60706811adba5597b9e5833966b2669bcfd629dc245c,malicious,['macros-on-open'],"['Modify Registry', 'Office Application Startup', 'Application Window Discovery', 'Process Injection', 'Hooking']"
057f9f71e9af51c0dd555ea98c6ec6bcc8412976a661a5bc1a5af8cc41cfead9,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
36ea03375a811f86a7aab5b6d44163231604f98227f227606a6a29ebd33d3fc0,malicious,['macros-on-open'],"['Kernel Modules and Extensions', 'Modify Registry', 'Service Execution', 'Input Capture', 'Office Application Startup', 'New Service', 'Application Window Discovery', 'Process Injection', 'System Time Discovery', 'Hooking', 'System Information Discovery', 'Peripheral Device Discovery']"
b02ee2c8777154bfd876f5c01d4fd1d7c5d9502440fd5513bf1aaf30fbfd1569,malicious,[],"['Data Compressed', 'Hooking']"
86899405943abfbc16ee685566f138292500cdd903d6d7de3f4a8423e900a366,malicious,['phishing'],"['Application Window Discovery', 'DCShadow', 'Process Injection']"
7bafe21a603c600085b94ed90a19090bfaff223fc404b91cd4f03f5a1e3d83a4,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Remote Desktop Protocol', 'Query Registry', 'Code Signing', 'Data Compressed']"
60e3b4508a562310afaf8034455660fb0a962e4c06cc82f6cfe8a59930d56c72,malicious,[],"['Kernel Modules and Extensions', 'File and Directory Discovery', 'Remote Desktop Protocol', 'Query Registry', 'Code Signing', 'Data Compressed']"
24931046bedaa69eb22e3c95dc5fcc52c4d3bee360e1053436d5f5ead8b6ddf3,malicious,"['ramnit', 'banker']","['Uncommonly Used Port', 'Modify Registry', 'File Deletion', 'Remote Desktop Protocol', 'Data Encoding', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Clipboard Data', 'File and Directory Discovery', 'Security Software Discovery', 'System Information Discovery', 'Service Execution', 'New Service', 'Email Collection', 'Data Compressed', 'Software Packing', 'Kernel Modules and Extensions', 'Process Discovery']"
7da8c7f6e3ba73740a105d3930391e6af0e1b1b7d0673f5d6df28df108b842e9,malicious,"['xtreme', 'rat']","['Kernel Modules and Extensions', 'Clipboard Data', 'Modify Registry', 'Automated Collection', 'Input Capture', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Network Service Scanning']"
4e5f0c3e32e8de3a7c350686d13fa3152a249d2901947db2d57c022b163b98d9,malicious,['evasive'],"['File Deletion', 'Modify Registry', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Network Service Scanning', 'Clipboard Data', 'File and Directory Discovery', 'System Network Configuration Discovery', 'System Information Discovery', 'Peripheral Device Discovery', 'Application Window Discovery', 'New Service', 'Data Compressed', 'Software Packing', 'Kernel Modules and Extensions', 'Process Discovery']"
e0ec4a4bb303524a97d25472eaa5ca225b89aa4e861149481ff545f223dcf03e,malicious,['ramnit'],"['Kernel Modules and Extensions', 'Clipboard Data', 'Modify Registry', 'File Deletion', 'Credentials in Files', 'File and Directory Discovery', 'Security Software Discovery', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery', 'Network Service Scanning']"
59335b2f8aadc6dcd1bf7ef9319cc0cb493aefb39cecabfcc9b65b7b4c667556,malicious,[],"['Modify Registry', 'File Deletion', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Network Service Scanning', 'Clipboard Data', 'File and Directory Discovery', 'Security Software Discovery', 'System Network Configuration Discovery', 'Replication Through Removable Media', 'Application Window Discovery', 'Data Compressed', 'Software Packing', 'Kernel Modules and Extensions', 'Process Discovery', 'Registry Run Keys / Start Folder']"
dade9d657c52f6cdb0beba1318abca314a878c943cffb6a5cade07e3ecbc4df9,malicious,['rat'],"['Kernel Modules and Extensions', 'Uncommonly Used Port', 'File Deletion', 'Process Discovery', 'Registry Run Keys / Start Folder', 'Local Job Scheduling', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'Hooking', 'Data Compressed', 'Network Service Scanning']"
2f964d7239a25a9364980847472f7fff34545d676a2f807be966996629cbadc2,malicious,"['xtreme', 'rat']","['Kernel Modules and Extensions', 'Clipboard Data', 'File Deletion', 'Uncommonly Used Port', 'Automated Collection', 'Registry Run Keys / Start Folder', 'Input Capture', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'Software Packing', 'Network Service Scanning']"
e37f1f88268ca171f1c0f037d8ff81f73b6c3abba4a9b163af95c81806fc4480,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'Process Discovery', 'Registry Run Keys / Start Folder', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Peripheral Device Discovery']"
e6456d32e9c3a0d76484a30eb4f96ad6cb6c60b21230e08ff4369d1bb8f70f59,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'Process Discovery', 'Service Execution', 'New Service', 'Query Registry', 'Process Injection', 'Hooking', 'Peripheral Device Discovery']"
3eb36da4ac13aa6df33badc867d80d822490b86791d45c74f6630854717bace4,malicious,[],"['Kernel Modules and Extensions', 'Process Discovery', 'PowerShell', 'Service Execution', 'Local Job Scheduling', 'Remote Desktop Protocol', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Disabling Security Tools', 'Peripheral Device Discovery']"
7978df0f70399bd200cc84198aa59e44a7978fcd4b9c6fb53d6c2b3f314b8646,malicious,[],"['Remote Desktop Protocol', 'Query Registry', 'Hooking', 'Data Compressed', 'Network Service Scanning']"
e3568c112318fb300c8510be383a065aca775900f2d8482a083bbf8421026a4a,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'Process Discovery', 'Service Execution', 'Remote Desktop Protocol', 'New Service', 'Query Registry', 'Process Injection', 'Peripheral Device Discovery']"
b26f7617fec4b59cc7c783a703a220d90d36b42457d5f7a71e6867a50f4bdedd,malicious,[],"['Kernel Modules and Extensions', 'Modify Registry', 'Process Discovery', 'Registry Run Keys / Start Folder', 'Security Software Discovery', 'Application Window Discovery', 'Query Registry', 'Process Injection', 'System Time Discovery', 'Hooking', 'Data Compressed', 'System Information Discovery', 'Network Service Scanning']"
0e5e328dab8b4fdcf6db844a7feca231721e795eb4b327495f55e4fb234f0efd,malicious,[],"['Kernel Modules and Extensions', 'File Deletion', 'Process Discovery', 'Service Execution', 'Remote Desktop Protocol', 'New Service', 'Query Registry', 'Process Injection', 'Peripheral Device Discovery']"
